epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.9993,0.36261,0.98753,1,0.08443,3.98994e-05,3.98994e-05,3.98994e-05
2,18.3858,0.27338,0.99002,1,0.06348,7.6578e-05,7.6578e-05,7.6578e-05
3,27.0119,0.25263,0.98254,1,0.05338,0.000109231,0.000109231,0.000109231
4,35.704,0.20499,0.98379,1,0.04713,0.000103883,0.000103883,0.000103883
5,44.2654,0.17093,0.98753,1,0.04389,9.7844e-05,9.7844e-05,9.7844e-05
6,52.3292,0.16107,0.98379,1,0.03642,9.1805e-05,9.1805e-05,9.1805e-05
7,60.7538,0.13445,0.98254,1,0.03439,8.5766e-05,8.5766e-05,8.5766e-05
8,69.2558,0.13101,0.98254,1,0.04159,7.9727e-05,7.9727e-05,7.9727e-05
9,77.7471,0.11115,0.98379,1,0.03112,7.3688e-05,7.3688e-05,7.3688e-05
10,86.6108,0.11754,0.98628,1,0.02905,6.7649e-05,6.7649e-05,6.7649e-05
11,95.2139,0.10644,0.98504,1,0.03163,6.161e-05,6.161e-05,6.161e-05
12,103.924,0.10566,0.99127,1,0.02506,5.5571e-05,5.5571e-05,5.5571e-05
13,112.553,0.10106,0.99002,1,0.02601,4.9532e-05,4.9532e-05,4.9532e-05
14,121.169,0.0934,0.99002,1,0.02685,4.3493e-05,4.3493e-05,4.3493e-05
15,129.894,0.10168,0.98878,1,0.02521,3.7454e-05,3.7454e-05,3.7454e-05
16,138.489,0.09407,0.99002,1,0.02236,3.1415e-05,3.1415e-05,3.1415e-05
17,147.264,0.09075,0.99127,1,0.02384,2.5376e-05,2.5376e-05,2.5376e-05
18,156.016,0.08196,0.99002,1,0.02488,1.9337e-05,1.9337e-05,1.9337e-05
19,164.599,0.0869,0.99002,1,0.0255,1.3298e-05,1.3298e-05,1.3298e-05
20,173.223,0.09281,0.99002,1,0.02193,7.259e-06,7.259e-06,7.259e-06
